"id_player","ranked","player_name","player_position","age","team","games_played","games_started","minutes_played"
"garzalu01","165","Luka Garza","C","25","Minnesota Timberwolves","25","0","122"
"gateska01","166","Kaiser Gates","SF","27","New Orleans Pelicans","1","0","7"
"georgke01","167","Keyonte George","PG","20","Utah Jazz","75","44","2023"
"georgpa01","168","Paul George","PF","33","Los Angeles Clippers","74","74","2502"
"gibsota01","169","Taj Gibson","PF","38","New York Knicks","16","1","165"
"gibsota01","169","Taj Gibson","PF","38","Detroit Pistons","4","0","39"
"giddejo01","170","Josh Giddey","SG","21","Oklahoma City Thunder","80","80","2011"
"gilesha01","171","Harry Giles","C","25","Brooklyn Nets","16","0","81"
"gilesha01","171","Harry Giles","C","25","Los Angeles Lakers","7","0","19"
"gilgesh01","172","Shai Gilgeous-Alexander","PG","25","Oklahoma City Thunder","75","75","2553"
"gillan01","173","Anthony Gill","PF","31","Washington Wizards","50","3","466"
"gilleco01","174","Collin Gillespie","PG","24","Denver Nuggets","24","0","225"
"gilyaja01","175","Jacob Gilyard","PG","25","Memphis Grizzlies","37","14","654"
"gilyaja01","175","Jacob Gilyard","PG","25","Brooklyn Nets","4","0","45"
"goberru01","176","Rudy Gobert","C","31","Minnesota Timberwolves","76","76","2593"
"goodwjo01","177","Jordan Goodwin","PG","25","Phoenix Suns","40","0","558"
"goodwjo01","177","Jordan Goodwin","PG","25","Memphis Grizzlies","17","12","497"
"gordoaa01","178","Aaron Gordon","PF","28","Denver Nuggets","73","73","2297"
"gordoer01","179","Eric Gordon","SG","35","Phoenix Suns","68","24","1893"
"grahade01","180","Devonte Graham","PG","28","San Antonio Spurs","23","0","313"
"grantje01","181","Jerami Grant","PF","29","Portland Trail Blazers","54","54","1830"
"grayra01","182","RaiQuan Gray","PF","24","San Antonio Spurs","3","0","39"
"greenaj01","183","A.J. Green","SG","24","Milwaukee Bucks","56","0","614"
"greenda02","184","Danny Green","SG","36","Philadelphia 76ers","2","0","18"
"greendr01","185","Draymond Green","PF","33","Golden State Warriors","55","52","1490"
"greenja05","186","Jalen Green","SG","21","Houston Rockets","82","82","2601"
"greenja02","187","Javonte Green","SF","30","Chicago Bulls","9","5","230"
"greenje02","188","Jeff Green","PF","37","Houston Rockets","78","6","1307"
"greenjo02","189","Josh Green","SG","23","Dallas Mavericks","57","33","1505"
"griffaj01","190","AJ Griffin","SF","20","Atlanta Hawks","20","0","171"
"grimequ01","191","Quentin Grimes","SG","23","New York Knicks","45","18","910"
"grimequ01","191","Quentin Grimes","SG","23","Detroit Pistons","6","0","115"
"gueyemo01","192","Mouhamadou Gueye","PF","25","Toronto Raptors","11","0","120"
"gueyemo02","193","Mouhamed Gueye","PF","21","Atlanta Hawks","6","0","73"
"hachiru01","194","Rui Hachimura","PF","25","Los Angeles Lakers","68","39","1826"
"haganas01","195","Ashton Hagans","PG","24","Portland Trail Blazers","19","1","316"
"halibty01","196","Tyrese Haliburton","PG","23","Indiana Pacers","69","68","2224"
"hamptrj01","197","R.J. Hampton","PG","22","Miami Heat","8","2","76"
"hardati02","198","Tim Hardaway Jr.","SF","31","Dallas Mavericks","79","12","2120"
"hardeja01","199","James Harden","PG","34","Los Angeles Clippers","72","72","2470"
"hardyja02","200","Jaden Hardy","SG","21","Dallas Mavericks","73","7","989"
"harpero02","201","Ron Harper Jr.","PF","23","Toronto Raptors","1","0","4"
"harriga01","202","Gary Harris","SG","29","Orlando Magic","54","27","1297"
"harrijo01","203","Joe Harris","SG","32","Detroit Pistons","16","0","170"
"harrike01","204","Kevon Harris","SG","26","Orlando Magic","2","0","6"
"harrito02","205","Tobias Harris","PF","31","Philadelphia 76ers","70","70","2368"
"harrish01","206","Shaquille Harrison","SG","30","Memphis Grizzlies","3","0","6"
"hartjo01","207","Josh Hart","SF","28","New York Knicks","81","42","2707"
"harteis01","208","Isaiah Hartenstein","C","25","New York Knicks","75","49","1896"
"hausesa01","209","Sam Hauser","SF","26","Boston Celtics","79","13","1741"
"hawkijo01","210","Jordan Hawkins","SG","21","New Orleans Pelicans","67","10","1160"
"hayesja02","211","Jaxson Hayes","C","23","Los Angeles Lakers","70","5","877"
"hayeski01","212","Killian Hayes","PG","22","Detroit Pistons","42","31","1008"
"haywago01","213","Gordon Hayward","SF","33","Charlotte Hornets","25","25","798"
"haywago01","213","Gordon Hayward","SF","33","Oklahoma City Thunder","26","3","447"
"hendesc01","214","Scoot Henderson","PG","19","Portland Trail Blazers","62","32","1765"
"hendrita01","215","Taylor Hendricks","PF","20","Utah Jazz","40","23","856"
"herroty01","216","Tyler Herro","SG","24","Miami Heat","42","40","1407"
"hieldbu01","217","Buddy Hield","SF","31","Indiana Pacers","52","28","1336"
"hieldbu01","217","Buddy Hield","SG","31","Philadelphia 76ers","32","14","824"
"highsha01","218","Haywood Highsmith","PF","27","Miami Heat","66","26","1366"
"hintona01","219","Nate Hinton","SG","24","Houston Rockets","15","0","75"
