"id_player","ranked","player_name","player_position","age","team","field_goal","field_goal_attempts","three_points","three_points_attempts","two_points","two_points_attempts","free_throws","free_throws_attempts","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","points"
"wainris01","524","Ish Wainright","SF","29","Phoenix Suns","1","6","1","4","0","2","0","0","3","2","5","1","2","0","1","4","3"
"walkeja01","525","Jabari Walker","SF","21","Portland Trail Blazers","234","509","41","139","193","370","129","171","151","357","508","71","42","22","66","173","638"
"walkeja02","526","Jarace Walker","PF","20","Indiana Pacers","45","110","22","55","23","55","8","9","12","51","63","40","15","11","17","29","120"
"walkelo01","527","Lonnie Walker IV","SG","25","Brooklyn Nets","208","492","104","271","104","221","45","59","13","114","127","74","32","20","51","71","565"
"wallaca01","528","Cason Wallace","SG","20","Oklahoma City Thunder","217","442","98","234","119","208","29","37","52","135","187","120","76","37","45","129","561"
"walshjo01","529","Jordan Walsh","SF","19","Boston Celtics","6","15","2","9","4","6","1","2","5","15","20","5","5","1","3","11","15"
"warretj01","530","T.J. Warren","SF","30","Minnesota Timberwolves","18","41","2","13","16","28","3","4","5","17","22","9","4","1","4","11","41"
"washipj01","531","P.J. Washington","PF","25","Charlotte Hornets","227","509","79","244","148","265","67","94","53","179","232","97","38","32","66","112","600"
"washipj01","531","P.J. Washington","PF","25","Dallas Mavericks","127","302","53","169","74","133","32","51","32","147","179","44","34","27","30","57","339"
"washity02","532","TyTy Washington Jr.","PG","22","Milwaukee Bucks","6","20","2","6","4","14","0","0","1","4","5","5","3","0","2","1","14"
"watanyu01","533","Yuta Watanabe","SF","29","Phoenix Suns","35","97","24","75","11","22","10","15","11","34","45","10","9","7","16","34","104"
"watanyu01","533","Yuta Watanabe","SF","29","Memphis Grizzlies","6","19","1","10","5","9","0","2","0","9","9","5","3","0","3","5","13"
"waterli01","534","Lindy Waters III","SG","26","Oklahoma City Thunder","49","104","37","85","12","19","2","2","7","33","40","24","5","7","7","23","137"
"watfotr01","535","Trendon Watford","PF","23","Brooklyn Nets","164","311","27","68","137","243","77","97","52","142","194","81","23","19","63","106","432"
"watsope01","536","Peyton Watson","SF","21","Denver Nuggets","208","447","45","152","163","295","71","106","56","202","258","86","42","88","58","143","532"
"wembavi01","537","Victor Wembanyama","C","20","San Antonio Spurs","551","1186","128","394","423","792","292","367","161","594","755","274","88","254","260","153","1522"
"weslebl01","538","Blake Wesley","SG","20","San Antonio Spurs","102","215","12","55","90","160","52","78","18","76","94","166","29","9","55","89","268"
"westbru01","539","Russell Westbrook","PG","35","Los Angeles Clippers","301","663","42","154","259","509","110","160","93","250","343","306","74","23","144","121","754"
"whiteco01","540","Coby White","PG","23","Chicago Bulls","541","1209","209","556","332","653","218","260","44","314","358","405","53","18","166","186","1509"
"whitede01","541","Derrick White","SG","29","Boston Celtics","387","839","196","495","191","344","137","152","51","259","310","377","74","87","112","152","1107"
"whiteja03","542","Jack White","SF","26","Memphis Grizzlies","2","16","2","10","0","6","0","0","4","8","12","1","4","1","2","3","6"
"whitmca01","543","Cam Whitmore","SF","19","Houston Rockets","212","467","79","220","133","247","76","112","44","136","180","33","30","17","46","64","579"
"wiggiaa01","544","Aaron Wiggins","SG","25","Oklahoma City Thunder","212","377","62","126","150","251","56","71","60","126","186","86","56","19","56","91","542"
